tissue	gene	HPA_expr
lung	SLC13A2	0.1
pancreas	SLC13A2	0
rectum	SLC13A2	4.1
skin	SLC13A2	0
bone marrow	GAS7	20.4
colon	GAS7	12.5
lung	GAS7	21.8
pancreas	GAS7	0.7
rectum	GAS7	13.5
skin	GAS7	38.1
bone marrow	TRAPPC6A	30.7
colon	TRAPPC6A	24.4
lung	TRAPPC6A	21.4
pancreas	TRAPPC6A	6
rectum	TRAPPC6A	12.3
skin	TRAPPC6A	39.5
bone marrow	MATK	12.8
colon	MATK	2
lung	MATK	9.1
pancreas	MATK	0.1
rectum	MATK	1.2
skin	MATK	1.7
bone marrow	CEACAM7	0
colon	CEACAM7	583.2
lung	CEACAM7	0
pancreas	CEACAM7	0.3
rectum	CEACAM7	691.9
skin	CEACAM7	1.6
bone marrow	CD79B	36.1
colon	CD79B	7.6
lung	CD79B	7.4
pancreas	CD79B	0.1
rectum	CD79B	7.9
skin	CD79B	1.6
bone marrow	SCN4A	0
colon	SCN4A	0.1
lung	SCN4A	0
pancreas	SCN4A	0
rectum	SCN4A	0.1
skin	SCN4A	0
bone marrow	ST7L	3.8
colon	ST7L	3
lung	ST7L	4.1
pancreas	ST7L	0.8
rectum	ST7L	5.2
skin	ST7L	6.5
bone marrow	TKTL1	0.5
colon	TKTL1	0
lung	TKTL1	1.5
pancreas	TKTL1	0
rectum	TKTL1	0
skin	TKTL1	0.2
bone marrow	PAX6	0.1
colon	PAX6	0.2
lung	PAX6	0
pancreas	PAX6	1.9
rectum	PAX6	0.4
skin	PAX6	0.6
bone marrow	RPUSD1	8.4
colon	RPUSD1	6.1
lung	RPUSD1	6.5
pancreas	RPUSD1	1.7
rectum	RPUSD1	2.7
skin	RPUSD1	11.1
bone marrow	RHBDF1	0.3
colon	RHBDF1	9.4
lung	RHBDF1	23.4
pancreas	RHBDF1	2.6
rectum	RHBDF1	7.8
skin	RHBDF1	35.6
bone marrow	LUC7L	14.5
colon	LUC7L	12.9
lung	LUC7L	21.2
pancreas	LUC7L	3.1
rectum	LUC7L	15.2
skin	LUC7L	27.2
bone marrow	CACNA2D2	0.7
colon	CACNA2D2	1.6
lung	CACNA2D2	72.9
pancreas	CACNA2D2	0.9
rectum	CACNA2D2	2
skin	CACNA2D2	3.1
bone marrow	BAIAP3	0.6
colon	BAIAP3	1.5
lung	BAIAP3	4
pancreas	BAIAP3	1.5
rectum	BAIAP3	0.8
skin	BAIAP3	1.4
bone marrow	TSR3	10.3
colon	TSR3	18.7
lung	TSR3	22.4
pancreas	TSR3	8.5
rectum	TSR3	9.3
skin	TSR3	21.4
bone marrow	PIGQ	17.5
colon	PIGQ	4
lung	PIGQ	8.1
pancreas	PIGQ	2.9
rectum	PIGQ	1.2
skin	PIGQ	6.7
bone marrow	CRAMP1	7.9
colon	CRAMP1	4.8
lung	CRAMP1	10.8
pancreas	CRAMP1	1.4
rectum	CRAMP1	6
skin	CRAMP1	12.8
bone marrow	TEAD3	0.3
colon	TEAD3	24.1
lung	TEAD3	21
pancreas	TEAD3	3.1
rectum	TEAD3	23.6
skin	TEAD3	43.5
bone marrow	SELE	0.3
colon	SELE	1.2
lung	SELE	6.8
pancreas	SELE	0.2
rectum	SELE	3
skin	SELE	6.5
bone marrow	DNAJC11	8.7
colon	DNAJC11	27.6
lung	DNAJC11	19.1
pancreas	DNAJC11	3.8
rectum	DNAJC11	34.3
skin	DNAJC11	23.3
bone marrow	FMO3	0.2
colon	FMO3	0.7
lung	FMO3	18.9
pancreas	FMO3	0.9
rectum	FMO3	0.7
skin	FMO3	0.8
bone marrow	MYLIP	73.3
colon	MYLIP	19
lung	MYLIP	50.1
pancreas	MYLIP	3.4
rectum	MYLIP	23.7
skin	MYLIP	23.9
bone marrow	NOX1	0
colon	NOX1	58.7
lung	NOX1	0.4
pancreas	NOX1	0
rectum	NOX1	79.9
skin	NOX1	0.5
bone marrow	E2F2	15.3
colon	E2F2	2.1
lung	E2F2	0.2
pancreas	E2F2	0
rectum	E2F2	2.3
skin	E2F2	3.2
bone marrow	PSMB1	119.8
colon	PSMB1	150.3
lung	PSMB1	178.9
pancreas	PSMB1	22.4
rectum	PSMB1	173.4
skin	PSMB1	150.7
bone marrow	SYN1	1.2
colon	SYN1	1.5
lung	SYN1	1.8
pancreas	SYN1	0.3
rectum	SYN1	2
skin	SYN1	1.4
bone marrow	JARID2	36.5
colon	JARID2	4.4
lung	JARID2	7.4
pancreas	JARID2	0.7
rectum	JARID2	5.2
skin	JARID2	14.1
bone marrow	CDKL5	4.1
colon	CDKL5	1.7
lung	CDKL5	8.4
pancreas	CDKL5	0.7
rectum	CDKL5	1.7
skin	CDKL5	4.5
bone marrow	CAMK1G	0.2
colon	CAMK1G	0.1
lung	CAMK1G	0.7
pancreas	CAMK1G	0.1
rectum	CAMK1G	0.1
skin	CAMK1G	0
bone marrow	CDK11A	25.7
colon	CDK11A	12.7
lung	CDK11A	14.4
pancreas	CDK11A	2.3
rectum	CDK11A	13.4
skin	CDK11A	15.6
bone marrow	NADK	66.2
colon	NADK	33.8
lung	NADK	36.1
pancreas	NADK	6.1
rectum	NADK	27.7
skin	NADK	24.3
bone marrow	TFAP2B	0
colon	TFAP2B	0
lung	TFAP2B	0
pancreas	TFAP2B	0
rectum	TFAP2B	0
skin	TFAP2B	8.7
bone marrow	TFAP2D	0
colon	TFAP2D	0
lung	TFAP2D	0
pancreas	TFAP2D	0
rectum	TFAP2D	0
skin	TFAP2D	0
bone marrow	DLEC1	0.6
colon	DLEC1	0.3
lung	DLEC1	5.9
pancreas	DLEC1	0
rectum	DLEC1	0.4
skin	DLEC1	0.5
bone marrow	CYTH3	4.7
colon	CYTH3	8
lung	CYTH3	22.7
pancreas	CYTH3	1.4
rectum	CYTH3	7.6
skin	CYTH3	20
bone marrow	ADAM22	0.5
colon	ADAM22	1.5
lung	ADAM22	1.8
pancreas	ADAM22	0.2
rectum	ADAM22	1.5
skin	ADAM22	1.2
bone marrow	SYPL1	32.3
colon	SYPL1	78.1
lung	SYPL1	99.2
pancreas	SYPL1	10.8
rectum	SYPL1	84.3
skin	SYPL1	110.6
bone marrow	CYB561	2.5
colon	CYB561	25.4
lung	CYB561	45
pancreas	CYB561	17.1
rectum	CYB561	22.5
skin	CYB561	38
bone marrow	SPAG9	16.7
colon	SPAG9	22.7
lung	SPAG9	44.6
pancreas	SPAG9	6.4
rectum	SPAG9	21.7
skin	SPAG9	22.2
bone marrow	CELSR3	0.3
colon	CELSR3	0.3
lung	CELSR3	0.2
pancreas	CELSR3	0.1
rectum	CELSR3	0.3
skin	CELSR3	0.2
bone marrow	AASS	0.7
colon	AASS	2.2
lung	AASS	8.9
pancreas	AASS	2
rectum	AASS	3.3
skin	AASS	3.8
bone marrow	PLEKHG6	1.7
colon	PLEKHG6	30.3
lung	PLEKHG6	2
pancreas	PLEKHG6	0.8
rectum	PLEKHG6	19.2
skin	PLEKHG6	12.3
bone marrow	SS18L2	30.1
colon	SS18L2	20.4
lung	SS18L2	24.3
pancreas	SS18L2	3.2
rectum	SS18L2	22.7
skin	SS18L2	24.5
bone marrow	MPND	9.9
colon	MPND	23.6
lung	MPND	15.7
pancreas	MPND	5.1
rectum	MPND	17.5
skin	MPND	17.6
bone marrow	MGST1	51.7
colon	MGST1	316.6
lung	MGST1	238.3
pancreas	MGST1	18.7
rectum	MGST1	238.2
skin	MGST1	17
bone marrow	CRY1	6.6
colon	CRY1	7.3
lung	CRY1	19.5
pancreas	CRY1	2.6
rectum	CRY1	8.4
skin	CRY1	8.7
bone marrow	PGLYRP1	421.1
colon	PGLYRP1	0.2
lung	PGLYRP1	0.8
pancreas	PGLYRP1	0.1
rectum	PGLYRP1	0
skin	PGLYRP1	1.2
bone marrow	NFIX	9.5
colon	NFIX	26.3
lung	NFIX	77
pancreas	NFIX	5.2
rectum	NFIX	22
skin	NFIX	122.4
bone marrow	ST3GAL1	14.5
colon	ST3GAL1	4.7
lung	ST3GAL1	27.1
pancreas	ST3GAL1	3.3
rectum	ST3GAL1	6.2
skin	ST3GAL1	2.3
bone marrow	MMP25	24.7
colon	MMP25	1.6
lung	MMP25	3.8
pancreas	MMP25	0.2
rectum	MMP25	1.7
skin	MMP25	1.3
bone marrow	IL32	30.7
colon	IL32	200
lung	IL32	301.2
pancreas	IL32	51.3
rectum	IL32	158.8
skin	IL32	31.9
bone marrow	PKD1	2.6
colon	PKD1	3.9
lung	PKD1	6.9
pancreas	PKD1	1.4
rectum	PKD1	1.7
skin	PKD1	17.2
bone marrow	MAPK8IP2	0
colon	MAPK8IP2	0.5
lung	MAPK8IP2	0.6
pancreas	MAPK8IP2	0.5
rectum	MAPK8IP2	0.2
skin	MAPK8IP2	0.5
bone marrow	MED24	23.3
colon	MED24	23.9
lung	MED24	31.4
pancreas	MED24	4.3
rectum	MED24	26.9
skin	MED24	38.5
bone marrow	RHOBTB2	1.5
colon	RHOBTB2	3
lung	RHOBTB2	52.7
pancreas	RHOBTB2	1.6
rectum	RHOBTB2	2.7
skin	RHOBTB2	4
bone marrow	HEATR5B	16
colon	HEATR5B	9.8
lung	HEATR5B	16.3
pancreas	HEATR5B	4.7
rectum	HEATR5B	14.9
skin	HEATR5B	21.5
bone marrow	SEC62	58.8
colon	SEC62	60.4
lung	SEC62	101.2
pancreas	SEC62	24.5
rectum	SEC62	62.7
skin	SEC62	32.6
bone marrow	RPS20	1970.1
colon	RPS20	1043.4
lung	RPS20	1434.3
pancreas	RPS20	336.7
rectum	RPS20	913.8
skin	RPS20	2133.4
bone marrow	CSDE1	174.2
colon	CSDE1	251.4
lung	CSDE1	273.6
pancreas	CSDE1	45.5
rectum	CSDE1	221
skin	CSDE1	240
bone marrow	UBE3C	10.2
colon	UBE3C	22
lung	UBE3C	28.3
pancreas	UBE3C	4.7
rectum	UBE3C	25.5
skin	UBE3C	24.5
bone marrow	REV3L	7.4
colon	REV3L	7.8
lung	REV3L	13.1
pancreas	REV3L	1.8
rectum	REV3L	8.4
skin	REV3L	12.9
bone marrow	TENM1	1.4
colon	TENM1	0.2
lung	TENM1	0.8
pancreas	TENM1	0
rectum	TENM1	0.2
skin	TENM1	1
bone marrow	PAX7	0
colon	PAX7	0
lung	PAX7	0
pancreas	PAX7	0
rectum	PAX7	0
skin	PAX7	0
bone marrow	MASP2	4.3
colon	MASP2	0.3
lung	MASP2	1.9
pancreas	MASP2	0.3
rectum	MASP2	0
skin	MASP2	5.7
bone marrow	IYD	0.2
colon	IYD	6.4
lung	IYD	1.1
pancreas	IYD	0
rectum	IYD	7.1
skin	IYD	0.4
bone marrow	FAM76A	9.2
colon	FAM76A	10.1
lung	FAM76A	16
pancreas	FAM76A	2.4
rectum	FAM76A	15.1
skin	FAM76A	14.6
bone marrow	TRAF3IP3	20.3
colon	TRAF3IP3	8.1
lung	TRAF3IP3	16
pancreas	TRAF3IP3	0.1
rectum	TRAF3IP3	11.6
skin	TRAF3IP3	2.8
bone marrow	POMT2	1.5
colon	POMT2	3.7
lung	POMT2	5.4
pancreas	POMT2	1.1
rectum	POMT2	3.6
skin	POMT2	2.8
bone marrow	VTA1	19.8
colon	VTA1	34.6
lung	VTA1	32
pancreas	VTA1	4
rectum	VTA1	43.9
skin	VTA1	36.6
bone marrow	MLXIPL	0.1
colon	MLXIPL	1.8
lung	MLXIPL	1.4
pancreas	MLXIPL	2.2
rectum	MLXIPL	1.6
skin	MLXIPL	1.2
bone marrow	BAZ1B	15.7
colon	BAZ1B	18.3
lung	BAZ1B	30.3
pancreas	BAZ1B	4.4
rectum	BAZ1B	22.8
skin	BAZ1B	16.9
bone marrow	RANBP9	40
colon	RANBP9	18
lung	RANBP9	29.7
pancreas	RANBP9	4
rectum	RANBP9	21.8
skin	RANBP9	36.6
bone marrow	ETV7	0.9
colon	ETV7	3.3
lung	ETV7	7.2
pancreas	ETV7	0.2
rectum	ETV7	2.8
skin	ETV7	19.9
bone marrow	SPRTN	7
colon	SPRTN	3.5
lung	SPRTN	5.2
pancreas	SPRTN	0.5
rectum	SPRTN	3.9
skin	SPRTN	6.6
bone marrow	METTL13	5.2
colon	METTL13	10.8
lung	METTL13	14.5
pancreas	METTL13	2.1
rectum	METTL13	12.7
skin	METTL13	13.3
bone marrow	DYRK4	3.1
colon	DYRK4	5.3
lung	DYRK4	7.1
pancreas	DYRK4	0.4
rectum	DYRK4	6.8
skin	DYRK4	5.8
bone marrow	ZNF207	151.3
colon	ZNF207	67.9
lung	ZNF207	92.3
pancreas	ZNF207	10.1
rectum	ZNF207	89.9
skin	ZNF207	74.5
bone marrow	UQCRC1	6.8
colon	UQCRC1	41.6
lung	UQCRC1	10.7
pancreas	UQCRC1	2.7
rectum	UQCRC1	13.8
skin	UQCRC1	18.5
bone marrow	STARD3NL	24.6
colon	STARD3NL	21.2
lung	STARD3NL	48.8
pancreas	STARD3NL	3.3
rectum	STARD3NL	25.8
skin	STARD3NL	6.3
bone marrow	CD9	14.8
colon	CD9	471.6
lung	CD9	644.9
pancreas	CD9	21.6
rectum	CD9	501.7
skin	CD9	465
bone marrow	HHATL	0
colon	HHATL	0.1
lung	HHATL	0.8
pancreas	HHATL	0.2
rectum	HHATL	0.1
skin	HHATL	0.9
bone marrow	NCAPD2	13.5
colon	NCAPD2	12.7
lung	NCAPD2	12
pancreas	NCAPD2	1.4
rectum	NCAPD2	14.8
skin	NCAPD2	19.7
bone marrow	IFFO1	4.8
colon	IFFO1	2.6
lung	IFFO1	8
pancreas	IFFO1	0.4
rectum	IFFO1	2.7
skin	IFFO1	2.1
bone marrow	GIPR	1.5
colon	GIPR	3.9
lung	GIPR	6.3
pancreas	GIPR	1
rectum	GIPR	5.4
skin	GIPR	3.4
bone marrow	PHF7	2.5
colon	PHF7	3.5
lung	PHF7	2.9
pancreas	PHF7	0.5
rectum	PHF7	5
skin	PHF7	4.7
bone marrow	SEMA3G	0
colon	SEMA3G	5.3
lung	SEMA3G	20.4
pancreas	SEMA3G	0.6
rectum	SEMA3G	4.3
skin	SEMA3G	4.7
bone marrow	NISCH	24.5
colon	NISCH	20.7
lung	NISCH	47.5
pancreas	NISCH	8.5
rectum	NISCH	22.6
skin	NISCH	93.6
bone marrow	STAB1	8.3
colon	STAB1	31.7
lung	STAB1	25.4
pancreas	STAB1	1.5
rectum	STAB1	34.8
skin	STAB1	8.2
bone marrow	FUZ	3.8
colon	FUZ	2.3
lung	FUZ	7.4
pancreas	FUZ	1.6
rectum	FUZ	2.1
skin	FUZ	2.8
bone marrow	SLC6A13	0
colon	SLC6A13	0.1
lung	SLC6A13	1.3
pancreas	SLC6A13	0
rectum	SLC6A13	0
skin	SLC6A13	0.3
bone marrow	IDS	29.5
colon	IDS	23.1
lung	IDS	68.3
pancreas	IDS	5.6
rectum	IDS	28.6
skin	IDS	38.8
bone marrow	PRSS3	0.3
colon	PRSS3	70.2
lung	PRSS3	0
pancreas	PRSS3	6301.2
rectum	PRSS3	68.8
skin	PRSS3	40.7
bone marrow	ZNF200	1.6
colon	ZNF200	3.3
lung	ZNF200	5.7
pancreas	ZNF200	0.4
rectum	ZNF200	4
skin	ZNF200	3.6
bone marrow	CD4	15.8
colon	CD4	25
lung	CD4	104.9
pancreas	CD4	1.5
rectum	CD4	33.6
skin	CD4	14.6
bone marrow	LRRC23	1.6
colon	LRRC23	1.8
lung	LRRC23	13.6
pancreas	LRRC23	0.2
rectum	LRRC23	2.3
skin	LRRC23	2.8
bone marrow	BTK	20.9
colon	BTK	6.5
lung	BTK	28.9
pancreas	BTK	0.2
rectum	BTK	10.1
skin	BTK	3.5
bone marrow	HFE	0.4
colon	HFE	5.8
lung	HFE	11.2
pancreas	HFE	1.3
rectum	HFE	7.5
skin	HFE	3.2
bone marrow	SCMH1	11.3
colon	SCMH1	16
lung	SCMH1	21.4
pancreas	SCMH1	5.1
rectum	SCMH1	18.8
skin	SCMH1	14
bone marrow	FYN	19.8
colon	FYN	17.8
lung	FYN	53.1
pancreas	FYN	1.3
rectum	FYN	17.3
skin	FYN	25.7
bone marrow	HIVEP2	2.1
colon	HIVEP2	4
lung	HIVEP2	9.8
pancreas	HIVEP2	2.1
rectum	HIVEP2	4.8
skin	HIVEP2	8.2
bone marrow	FMO1	0
colon	FMO1	0.2
lung	FMO1	2.2
pancreas	FMO1	0.5
rectum	FMO1	0.2
skin	FMO1	12.4
bone marrow	ELOA	21.1
colon	ELOA	14.7
lung	ELOA	38.5
pancreas	ELOA	8.9
rectum	ELOA	18.2
skin	ELOA	23.8
bone marrow	LYPLA2	34.1
colon	LYPLA2	40.6
lung	LYPLA2	42
pancreas	LYPLA2	6.2
rectum	LYPLA2	31.1
skin	LYPLA2	48
bone marrow	CLCN6	6.5
colon	CLCN6	4.7
lung	CLCN6	11.7
pancreas	CLCN6	0.9
rectum	CLCN6	6
skin	CLCN6	8.7
bone marrow	MRC2	3.2
colon	MRC2	6.2
lung	MRC2	29.7
pancreas	MRC2	1.3
rectum	MRC2	2.8
skin	MRC2	30.5
bone marrow	NME1-NME2	14.3
colon	NME1-NME2	6.4
lung	NME1-NME2	10.5
pancreas	NME1-NME2	3.1
rectum	NME1-NME2	5.3
skin	NME1-NME2	6.7
bone marrow	SLC6A7	0
colon	SLC6A7	2.9
lung	SLC6A7	0
pancreas	SLC6A7	0
rectum	SLC6A7	4.2
skin	SLC6A7	0
bone marrow	TSPAN9	0.3
colon	TSPAN9	5.8
lung	TSPAN9	30.9
pancreas	TSPAN9	2.7
rectum	TSPAN9	5.8
skin	TSPAN9	32.2
bone marrow	BTBD7	3.9
colon	BTBD7	4.7
lung	BTBD7	4.8
pancreas	BTBD7	0.7
rectum	BTBD7	5.1
skin	BTBD7	3.8
bone marrow	APBA3	1.3
colon	APBA3	2
lung	APBA3	2.9
pancreas	APBA3	0.6
rectum	APBA3	0.7
skin	APBA3	3.1
bone marrow	MKS1	3.6
colon	MKS1	6.7
lung	MKS1	11.4
pancreas	MKS1	2.2
rectum	MKS1	8.2
skin	MKS1	19.4
bone marrow	ABHD5	37
colon	ABHD5	16.7
lung	ABHD5	29.1
pancreas	ABHD5	3.5
rectum	ABHD5	14.4
skin	ABHD5	43.6
bone marrow	ANOS1	0.1
colon	ANOS1	0.6
lung	ANOS1	64.7
pancreas	ANOS1	0
rectum	ANOS1	1.1
skin	ANOS1	3.6
bone marrow	AKAP8L	34.4
colon	AKAP8L	10.1
lung	AKAP8L	18.3
pancreas	AKAP8L	1.7
rectum	AKAP8L	11.2
skin	AKAP8L	13.8
bone marrow	MBTD1	6.9
colon	MBTD1	7
lung	MBTD1	9.2
pancreas	MBTD1	1.8
rectum	MBTD1	8.5
skin	MBTD1	17.1
bone marrow	UTP18	25.3
colon	UTP18	17
lung	UTP18	25.5
pancreas	UTP18	4.1
rectum	UTP18	20.6
skin	UTP18	29.1
bone marrow	RNF216	12.1
colon	RNF216	8.5
lung	RNF216	15.7
pancreas	RNF216	3.3
rectum	RNF216	9.2
skin	RNF216	12
bone marrow	TTC19	7.2
colon	TTC19	8.3
lung	TTC19	7.7
pancreas	TTC19	2.2
rectum	TTC19	6.1
skin	TTC19	10
bone marrow	PTBP1	96
colon	PTBP1	109.5
lung	PTBP1	108.7
pancreas	PTBP1	19.1
rectum	PTBP1	80.3
skin	PTBP1	116.7
bone marrow	DPF1	0
colon	DPF1	0.1
lung	DPF1	0.1
pancreas	DPF1	0
rectum	DPF1	0
skin	DPF1	0.2
bone marrow	SYT7	0
colon	SYT7	5.1
lung	SYT7	2.5
pancreas	SYT7	3.6
rectum	SYT7	5.8
skin	SYT7	1.8
bone marrow	LARS2	4.4
colon	LARS2	9.8
lung	LARS2	6.5
pancreas	LARS2	1
rectum	LARS2	10.3
skin	LARS2	4.5
bone marrow	PIK3C2A	6.1
colon	PIK3C2A	13
lung	PIK3C2A	21.5
pancreas	PIK3C2A	2.6
rectum	PIK3C2A	14.4
skin	PIK3C2A	14.8
bone marrow	PLAUR	428.5
colon	PLAUR	24.8
lung	PLAUR	69.3
pancreas	PLAUR	2.8
rectum	PLAUR	20.4
skin	PLAUR	8.1
bone marrow	ANLN	23.1
colon	ANLN	5.8
lung	ANLN	2.1
pancreas	ANLN	0.1
rectum	ANLN	8.8
skin	ANLN	16.2
bone marrow	WIZ	6
colon	WIZ	7.5
lung	WIZ	12
pancreas	WIZ	3.3
rectum	WIZ	4.5
skin	WIZ	15.5
bone marrow	RABGAP1	4.7
colon	RABGAP1	20
lung	RABGAP1	29
pancreas	RABGAP1	3.4
rectum	RABGAP1	25.5
skin	RABGAP1	25
bone marrow	DCN	2.7
colon	DCN	574.1
lung	DCN	1454.7
pancreas	DCN	60.2
rectum	DCN	606
skin	DCN	544.4
bone marrow	QPCTL	4.2
colon	QPCTL	4.1
lung	QPCTL	4.6
pancreas	QPCTL	0.9
rectum	QPCTL	4.4
skin	QPCTL	6.4
bone marrow	PPP5C	9.1
colon	PPP5C	20.2
lung	PPP5C	24.1
pancreas	PPP5C	4.3
rectum	PPP5C	17.7
skin	PPP5C	17
bone marrow	CEP68	2.9
colon	CEP68	6.9
lung	CEP68	11.7
pancreas	CEP68	1.9
rectum	CEP68	7.8
skin	CEP68	13.9
bone marrow	MAP4K3	6.6
colon	MAP4K3	11.7
lung	MAP4K3	20
pancreas	MAP4K3	2.5
rectum	MAP4K3	14.4
skin	MAP4K3	19.5
bone marrow	ZBTB32	0.4
colon	ZBTB32	0.2
lung	ZBTB32	0.3
pancreas	ZBTB32	0
rectum	ZBTB32	0.1
skin	ZBTB32	0.2
bone marrow	TYROBP	386.8
colon	TYROBP	59.6
lung	TYROBP	321.7
pancreas	TYROBP	4.4
rectum	TYROBP	54.6
skin	TYROBP	16.8
bone marrow	TMEM159	1.6
colon	TMEM159	10.7
lung	TMEM159	15
pancreas	TMEM159	1.3
rectum	TMEM159	10.5
skin	TMEM159	45.2
bone marrow	GABRA3	0
colon	GABRA3	0.1
lung	GABRA3	0
pancreas	GABRA3	0
rectum	GABRA3	0.1
skin	GABRA3	0.3
bone marrow	BRCA1	8.2
colon	BRCA1	6.9
lung	BRCA1	4.8
pancreas	BRCA1	0.5
rectum	BRCA1	8.3
skin	BRCA1	6.9
bone marrow	ERCC1	20.4
colon	ERCC1	24.2
lung	ERCC1	43.3
pancreas	ERCC1	12.4
rectum	ERCC1	24.5
skin	ERCC1	71.3
bone marrow	CD22	9.4
colon	CD22	4.9
lung	CD22	11.5
pancreas	CD22	0.1
rectum	CD22	7.1
skin	CD22	0.2
bone marrow	SEMA3B	0.1
colon	SEMA3B	21
lung	SEMA3B	41.2
pancreas	SEMA3B	4.1
rectum	SEMA3B	11.6
skin	SEMA3B	4.7
bone marrow	MBTPS2	1.1
colon	MBTPS2	5.1
lung	MBTPS2	8.2
pancreas	MBTPS2	1.5
rectum	MBTPS2	6.7
skin	MBTPS2	4.4
bone marrow	PRICKLE3	1.1
colon	PRICKLE3	3.1
lung	PRICKLE3	4.7
pancreas	PRICKLE3	0.9
rectum	PRICKLE3	2.7
skin	PRICKLE3	11.7
bone marrow	LTF	2804.3
colon	LTF	2.7
lung	LTF	10.5
pancreas	LTF	2.6
rectum	LTF	2.4
skin	LTF	14.1
bone marrow	EXTL3	2.4
colon	EXTL3	7.3
lung	EXTL3	13.7
pancreas	EXTL3	2.5
rectum	EXTL3	6.1
skin	EXTL3	14.7
bone marrow	NR1H4	0
colon	NR1H4	7.5
lung	NR1H4	0.3
pancreas	NR1H4	0.5
rectum	NR1H4	1.7
skin	NR1H4	0
bone marrow	ELOVL5	71.6
colon	ELOVL5	18.1
lung	ELOVL5	72
pancreas	ELOVL5	3.2
rectum	ELOVL5	20
skin	ELOVL5	20.3
bone marrow	ALOX5	28.8
colon	ALOX5	2.6
lung	ALOX5	41.3
pancreas	ALOX5	0.5
rectum	ALOX5	2.9
skin	ALOX5	2.5
bone marrow	KDM5D	9.3
colon	KDM5D	7.2
lung	KDM5D	8.4
pancreas	KDM5D	1.9
rectum	KDM5D	22.4
skin	KDM5D	11.4
bone marrow	CALCOCO1	25.5
colon	CALCOCO1	37.1
lung	CALCOCO1	130
pancreas	CALCOCO1	11.9
rectum	CALCOCO1	41.1
skin	CALCOCO1	160.7
bone marrow	UBR7	6.6
colon	UBR7	8.4
lung	UBR7	9.1
pancreas	UBR7	2.3
rectum	UBR7	9.8
skin	UBR7	8.8
bone marrow	MAP4K5	13.7
colon	MAP4K5	15.2
lung	MAP4K5	25.3
pancreas	MAP4K5	2.6
rectum	MAP4K5	18.4
skin	MAP4K5	33.9
bone marrow	EHD3	1.2
colon	EHD3	2
lung	EHD3	7.3
pancreas	EHD3	0.2
rectum	EHD3	2
skin	EHD3	3.5
bone marrow	PSMC4	9.2
colon	PSMC4	21.5
lung	PSMC4	22.4
pancreas	PSMC4	3
rectum	PSMC4	22.5
skin	PSMC4	26.5
bone marrow	MAN2B2	9.5
colon	MAN2B2	11.9
lung	MAN2B2	25.4
pancreas	MAN2B2	4.6
rectum	MAN2B2	8.6
skin	MAN2B2	12.4
bone marrow	SLC7A14	0.1
colon	SLC7A14	0.4
lung	SLC7A14	0
pancreas	SLC7A14	0.1
rectum	SLC7A14	0.5
skin	SLC7A14	0.1
bone marrow	CLDN11	2.6
colon	CLDN11	2.3
lung	CLDN11	3
pancreas	CLDN11	0.2
rectum	CLDN11	1.4
skin	CLDN11	5.5
bone marrow	SLC25A39	181.1
colon	SLC25A39	72.8
lung	SLC25A39	49
pancreas	SLC25A39	21.5
rectum	SLC25A39	51.4
skin	SLC25A39	74.5
bone marrow	MVP	32.3
colon	MVP	147.2
lung	MVP	141.1
pancreas	MVP	9.1
rectum	MVP	109.5
skin	MVP	66.6
bone marrow	NUB1	20.6
colon	NUB1	36.4
lung	NUB1	55.3
pancreas	NUB1	8.7
rectum	NUB1	33.5
skin	NUB1	34.7
bone marrow	PGM3	6.2
colon	PGM3	17.7
lung	PGM3	22.3
pancreas	PGM3	7
rectum	PGM3	25.5
skin	PGM3	13.4
bone marrow	RWDD2A	0.3
colon	RWDD2A	2.3
lung	RWDD2A	4.3
pancreas	RWDD2A	1.1
rectum	RWDD2A	2.7
skin	RWDD2A	2.3
bone marrow	CLK1	113.5
colon	CLK1	18.1
lung	CLK1	38.4
pancreas	CLK1	6.6
rectum	CLK1	26.7
skin	CLK1	59.8
bone marrow	POLR3B	3.3
colon	POLR3B	5.1
lung	POLR3B	7
pancreas	POLR3B	0.9
rectum	POLR3B	6.1
skin	POLR3B	12.9
bone marrow	ANGEL1	4.3
colon	ANGEL1	9.5
lung	ANGEL1	19.5
pancreas	ANGEL1	10.2
rectum	ANGEL1	11.8
skin	ANGEL1	7.5
bone marrow	RNF14	12.6
colon	RNF14	40.4
lung	RNF14	45
pancreas	RNF14	7.8
rectum	RNF14	45.5
skin	RNF14	27.7
bone marrow	DNASE1L1	16.8
colon	DNASE1L1	14
lung	DNASE1L1	28.3
pancreas	DNASE1L1	2.7
rectum	DNASE1L1	14.6
skin	DNASE1L1	12
bone marrow	DDX11	17.3
colon	DDX11	7
lung	DDX11	6.3
pancreas	DDX11	1.9
rectum	DDX11	10.5
skin	DDX11	19.3
bone marrow	HEBP1	33.6
colon	HEBP1	33
lung	HEBP1	69.6
pancreas	HEBP1	15.5
rectum	HEBP1	23.1
skin	HEBP1	65.9
bone marrow	GPRC5A	1
colon	GPRC5A	55
lung	GPRC5A	302
pancreas	GPRC5A	0.5
rectum	GPRC5A	52.4
skin	GPRC5A	1.1
bone marrow	MAMLD1	1
colon	MAMLD1	1
lung	MAMLD1	2.7
pancreas	MAMLD1	0.6
rectum	MAMLD1	1.2
skin	MAMLD1	1.4
bone marrow	CD6	7
colon	CD6	3.1
lung	CD6	9.7
pancreas	CD6	0.1
rectum	CD6	3.4
skin	CD6	1.5
bone marrow	TACC3	44
