cancer	hugo_symbol	p_val	t_am	t_bm_ge	num_samples_per_cancer	num_mut_per_cancer	num_samples_per_cancer_allele	num_mut_per_cancer_allele
LUAD	RPE65	0.0031	249	31	889	27	NA	0
LUAD	RPL10L	0.0085	249	85	889	31	NA	0
LUAD	RREB1	0.0021	250	21	889	28	NA	0
LUAD	RYR1	0.008	279	80	889	131	NA	0
LUAD	RYR2	0.0061	339	61	889	297	NA	0
LUAD	RYR3	5e-4	293	5	889	147	NA	0
LUAD	SALL1	0.004	262	40	889	70	NA	0
LUAD	SALL3	0.0067	252	67	889	40	NA	0
LUAD	SALL4	5e-4	254	5	889	34	NA	0
LUAD	SAMD9	0.0046	255	46	889	47	NA	0
LUAD	SBF2	5e-5	252	0	889	24	NA	0
LUAD	SCN10A	0.0028	264	28	889	72	NA	0
LUAD	SCN1A	5e-5	266	0	889	48	NA	0
LUAD	SCN2A	5e-5	270	0	889	56	NA	0
LUAD	SCN5A	0.004	257	40	889	51	NA	0
LUAD	SCN7A	0.0084	256	84	889	54	NA	0
LUAD	SEC16A	0.0092	244	92	889	18	NA	0
LUAD	SEC23IP	0.0032	246	32	889	20	NA	0
LUAD	SEMA3C	5e-5	251	0	889	23	NA	0
LUAD	SEMA5A	3e-4	270	3	889	74	NA	0
LUAD	SERPINA12	2e-4	252	2	889	26	NA	0
LUAD	SERPINB7	0.0024	247	24	889	21	NA	0
LUAD	SETD2	5e-5	267	0	889	53	NA	0
LUAD	SETX	0.006	250	60	889	34	NA	0
LUAD	SEZ6	0.004	246	40	889	20	NA	0
LUAD	SF1	0.0019	246	19	889	18	NA	0
LUAD	SF3B1	0.0045	248	45	889	26	NA	0
LUAD	SFMBT2	0.0082	247	82	889	25	NA	0
LUAD	SH3BP4	0.0085	244	85	889	18	NA	0
LUAD	SHROOM4	0.0093	246	93	889	24	NA	0
LUAD	SI	1e-4	294	1	889	136	NA	0
LUAD	SIGLEC10	0.006	250	60	889	32	NA	0
LUAD	SIM1	0.0093	249	93	889	33	NA	0
LUAD	SIPA1L2	0.0028	261	28	889	63	NA	0
LUAD	SLC12A1	1e-4	255	1	889	37	NA	0
LUAD	SLC17A3	0.0011	250	11	889	26	NA	0
LUAD	SLC1A3	0.0038	247	38	889	23	NA	0
LUAD	SLC1A6	0.0012	248	12	889	22	NA	0
LUAD	SLC24A4	0.0079	245	79	889	19	NA	0
LUAD	SLC39A12	0.001	263	10	889	63	NA	0
LUAD	SLC4A10	0.0082	252	82	889	42	NA	0
LUAD	SLC4A5	0.009	246	90	889	24	NA	0
LUAD	SLC4A7	0.0081	246	81	889	22	NA	0
LUAD	SLC5A11	9e-4	251	9	889	29	NA	0
LUAD	SLC5A12	0.0057	247	57	889	25	NA	0
LUAD	SLC5A8	0.0023	247	23	889	21	NA	0
LUAD	SLC6A18	0.0033	248	33	889	24	NA	0
LUAD	SLC8A1	0.0083	265	83	889	83	NA	0
LUAD	SLC9A9	0.0013	247	13	889	19	NA	0
LUAD	SLCO1B1	0.0069	248	69	889	28	NA	0
LUAD	SLIT2	6e-4	265	6	889	67	NA	0
LUAD	SMAD4	0.0094	248	94	889	30	NA	0
LUAD	SMARCA4	4e-4	269	4	889	73	NA	0
LUAD	SMC4	4e-4	250	4	889	24	NA	0
LUAD	SOGA2	0.0038	251	38	889	33	NA	0
LUAD	SORBS1	5e-5	249	0	889	19	NA	0
LUAD	SORCS1	4e-4	275	4	889	89	NA	0
LUAD	SORCS3	0.0033	264	33	889	76	NA	0
LUAD	SOS1	4e-4	250	4	889	24	NA	0
LUAD	SPAG16	3e-4	252	3	889	26	NA	0
LUAD	SPAG17	0.0012	258	12	889	48	NA	0
LUAD	SPATA16	1e-4	251	1	889	23	NA	0
LUAD	SPATA31A6	5e-5	272	0	889	58	NA	0
LUAD	SPEF2	3e-4	268	3	889	74	NA	0
LUAD	SPEG	0.0092	260	92	889	68	NA	0
LUAD	SPHKAP	5e-5	280	0	889	88	NA	0
LUAD	SPTA1	3e-4	317	3	889	213	NA	0
LUAD	SRCAP	5e-5	272	0	889	58	NA	0
LUAD	SRGAP1	0.0074	248	74	889	28	NA	0
LUAD	SRGAP3	0.0054	249	54	889	29	NA	0
LUAD	STAB2	0.001	267	10	889	71	NA	0
LUAD	STAG2	0.0077	250	77	889	34	NA	0
LUAD	STON1-GTF2A1L	0.0047	249	47	889	29	NA	0
LUAD	STON2	0.0014	251	14	889	29	NA	0
LUAD	STRN3	0.0094	244	94	889	18	NA	0
LUAD	STXBP5L	0.0038	254	38	889	42	NA	0
LUAD	SULF1	0.0038	248	38	889	26	NA	0
LUAD	SYNE1	5e-5	290	0	889	122	NA	0
LUAD	SYNE2	3e-4	273	3	889	85	NA	0
LUAD	SYNJ1	2e-4	250	2	889	22	NA	0
LUAD	SYT10	0.0021	252	21	889	34	NA	0
LUAD	TAF1L	2e-4	272	2	889	86	NA	0
LUAD	TAF4	2e-4	248	2	889	18	NA	0
LUAD	TBX21	0.0067	246	67	889	22	NA	0
LUAD	TCF20	2e-4	248	2	889	18	NA	0
LUAD	TCHH	2e-4	265	2	889	59	NA	0
LUAD	TDRD1	0.0012	247	12	889	19	NA	0
LUAD	TECPR2	5e-5	251	0	889	23	NA	0
LUAD	TECRL	0.0063	252	63	889	40	NA	0
LUAD	TENM1	6e-4	268	6	889	72	NA	0
LUAD	TENM2	0.0027	263	27	889	69	NA	0
LUAD	TEX15	5e-5	271	0	889	75	NA	0
LUAD	TFAP2D	0.0013	253	13	889	33	NA	0
LUAD	TG	0.0029	269	29	889	87	NA	0
LUAD	TGFBRAP1	0.0083	244	83	889	18	NA	0
LUAD	THADA	0.0016	248	16	889	22	NA	0
LUAD	THBS2	0.001	259	10	889	51	NA	0
LUAD	TIAM1	0.001	268	10	889	74	NA	0
LUAD	TIAM2	0.0058	249	58	889	29	NA	0
LUAD	TIE1	6e-4	248	6	889	20	NA	0
LUAD	TLL1	0.006	255	60	889	51	NA	0
LUAD	TLR4	6e-4	273	6	889	91	NA	0
LUAD	TLR8	0.0017	249	17	889	25	NA	0
LUAD	TMTC1	0.001	265	10	889	67	NA	0
LUAD	TNC	0.0028	250	28	889	30	NA	0
LUAD	TNKS2	0.0025	246	25	889	18	NA	0
LUAD	TNN	2e-4	277	2	889	93	NA	0
LUAD	TNR	5e-5	310	0	889	134	NA	0
LUAD	TNS1	0.0033	249	33	889	27	NA	0
LUAD	TNXB	0.0031	257	31	889	51	NA	0
LUAD	TP53	5e-5	483	0	889	427	NA	0
LUAD	TP63	0.0032	246	32	889	20	NA	0
LUAD	TPO	0.0086	253	86	889	45	NA	0
LUAD	TRAPPC9	0.0062	245	62	889	19	NA	0
LUAD	TRDN	0.0071	245	71	889	19	NA	0
LUAD	TRIML2	0.0043	248	43	889	26	NA	0
LUAD	TRIO	2e-4	265	2	889	57	NA	0
LUAD	TRPA1	0.0018	264	18	889	70	NA	0
LUAD	TRPC6	0.0029	253	29	889	37	NA	0
LUAD	TRPC7	0.0097	249	97	889	33	NA	0
LUAD	TRPM1	5e-5	260	0	889	44	NA	0
LUAD	TRPV4	2e-4	252	2	889	24	NA	0
LUAD	TRPV5	0.0066	256	66	889	52	NA	0
LUAD	TSHZ2	0.0022	257	22	889	49	NA	0
LUAD	TTBK1	2e-4	255	2	889	31	NA	0
LUAD	TTC21A	0.0024	247	24	889	21	NA	0
LUAD	TTC21B	0.0026	251	26	889	31	NA	0
LUAD	TTLL5	0.0044	247	44	889	23	NA	0
LUAD	TTN	0.0041	384	41	889	400	NA	0
LUAD	TUBA3C	0.0028	252	28	889	34	NA	0
LUAD	TUBA3D	0.0039	246	39	889	20	NA	0
